jumlah_ruangan,jumlah_penghuni,luas_bangunan,listrik
2,1,49.8,24
7,2,91.4,21.6
7,2,40.3,34.7
2,3,29.4,33.4
2,3,53.3,36.2
2,3,52.1,28.7
7,5,124.3,22.9
7,5,191.5,27.1
7,5,299.3,16.5
7,5,171,18.9
7,5,204.5,15
7,5,132.7,18.9
7,5,157.1,21.7
8,4,82.6,20.4
8,4,102.6,18.2
8,4,84.7,19.9
8,4,65.8,23.1
8,4,146.7,17.5
8,4,116.9,20.2
8,4,112.8,18.2
8,4,210.2,13.6
8,4,138.3,19.6
8,4,187.2,15.2
8,4,198.8,14.5
8,4,163,15.6
8,4,165.1,13.9
8,4,148.1,16.6
8,4,172.8,14.8
8,4,128,18.4
8,4,119.8,21
8,4,226,12.7
8,4,130.4,14.5
8,4,277.1,13.2
8,4,183.5,13.1
8,4,203.4,13.5
5,5,96.8,18.9
5,5,114.1,20
5,5,87.7,21
5,5,101.3,24.7
2,3,43.2,30.8
2,3,19.8,34.9
6,3,48.4,26.6
6,3,58.1,25.3
6,3,74.4,24.7
6,3,95.5,21.2
6,3,102.1,19.3
6,3,141.5,20
6,3,188,16.6
6,3,308.1,14.4
6,3,162,19.4
5,4,134.5,19.7
5,4,94.3,20.5
5,4,52.8,25
5,4,84.3,23.4
4,3,148,18.9
1,5,48.1,35.4
1,5,39.5,31.6
5,8,68.6,23.3
5,8,92.2,19.6
5,8,131.5,18.7
5,8,144.4,16
5,8,67.3,22.2
5,8,95,25
1,3,80.5,33
3,4,46.7,23.5
3,4,102.4,19.4
6,4,81,22
6,4,130.9,17.4
6,4,87.9,20.9
10,4,67.2,24.2
10,4,98.8,21.7
10,4,55.2,22.8
10,4,75.4,23.4
12,5,67.8,24.1
12,5,89.4,21.4
12,5,119.7,20
12,5,102.7,20.8
12,5,123.4,21.2
12,5,91,20.3
4,4,52.9,28
4,4,72.2,23.9
4,4,67.2,24.8
4,4,75.1,22.9
4,3,96.2,23.9
4,3,65.3,26.6
4,3,128.6,22.5
4,3,84.4,22.2
3,2,55,23.6
3,2,57,28.7
3,2,88.1,22.6
3,2,82,22
15,4,81.6,22.9
15,4,62.1,25
15,4,105.9,20.6
2,2,66.5,28.4
2,2,113.4,21.4
2,2,42.1,38.7
2,2,35.7,43.8
2,2,61.9,33.2
8,5,94.2,27.5
8,5,76.7,26.5
8,5,106.3,18.6
8,5,134.4,19.3
8,5,123.3,20.1
8,5,164.7,19.5
8,5,186.6,19.5
8,5,140.9,20.4
8,5,122.7,19.8
8,5,155.5,19.4
8,5,130,21.7
10,6,101.6,22.8
10,6,162.1,18.8
10,6,170.9,18.7
10,6,104.5,18.5
10,6,157.6,18.3
10,6,120.4,21.2
10,6,103,19.2
10,6,153.7,20.4
10,6,136.1,19.3
25,2,143.7,22
25,2,142.7,20.3
25,2,179.3,20.5
25,2,254.1,17.3
25,2,175.8,18.8
25,2,148.1,21.4
25,2,272.6,15.7
21,4,171.9,16.2
21,4,153.9,18
21,4,183.4,14.3
21,4,126,19.2
21,4,122.6,19.6
21,4,111.2,23
21,4,150.3,18.4
21,4,173.1,15.6
21,4,169.6,18.1
21,4,169,17.4
21,4,145.9,17.1
21,4,213.2,13.3
21,4,184.6,17.8
21,4,241.6,14
21,4,344.1,14.4
19,5,268.2,13.4
19,5,264.2,15.6
19,5,292.9,11.8
19,5,278,13.8
19,5,166.5,15.6
19,5,295.3,14.6
19,5,283.2,17.8
19,5,214.5,15.4
19,5,141,21.5
19,5,132.8,19.6
19,5,121.2,15.3
19,5,157.9,19.4
19,5,151.2,17
19,5,150.2,15.6
19,5,161.4,13.1
19,5,45.9,41.3
19,5,64.3,24.3
19,5,73.9,23.3
19,5,55,27
19,5,17.3,50
19,5,19.2,50
19,5,33.2,50
19,5,116.4,22.7
19,5,98.1,25
19,5,37,50
19,5,121.4,23.8
19,5,111,23.8
19,5,113.2,22.3
19,5,144.3,17.4
19,5,120.3,19.1
4,5,146.9,23.1
4,5,90.4,23.6
4,5,96.4,22.6
4,5,53.3,29.4
4,5,101.1,23.2
4,5,62.9,24.6
4,5,69.2,29.9
2,3,50.4,37.2
2,3,75.6,39.8
2,3,94.5,36.2
2,3,48.2,37.9
2,3,56.8,32.5
2,3,139.8,26.4
2,3,131.5,29.6
2,3,44.5,50
3,5,66.8,32
3,5,45.6,29.8
3,5,53.9,34.9
3,5,51,37
3,5,46.9,30.5
3,5,28.7,36.4
2,1,50.3,31.1
2,1,43.8,29.1
1,2,40.8,33.3
1,2,86.1,30.3
1,2,66.2,34.6
1,3,45.6,34.9
1,3,44.5,32.9
2,2,74.3,24.1
2,2,31.1,42.3
2,4,38.1,48.5
2,4,28.8,50
10,4,108.7,22.6
10,4,109.7,24.4
10,4,180.6,22.5
10,4,146.6,24.4
10,4,230.9,20
10,4,172.7,21.7
10,4,239.8,19.3
10,4,160.3,22.4
10,4,93.8,28.1
10,4,295.5,23.7
10,4,94.7,25
13,5,135.1,23.3
13,5,96.9,28.7
13,5,179.2,21.5
13,5,105,23
6,8,97.1,26.7
6,8,214.6,21.7
6,8,99.3,27.5
6,8,76,30.1
6,8,41.4,44.8
6,8,46.3,50
6,8,31.3,37.6
6,8,63.6,31.6
6,8,39.2,46.7
6,8,37.6,31.5
6,8,116.5,24.3
6,8,52.5,31.7
6,8,24.7,41.7
6,8,39.5,48.3
6,8,80.5,29
6,8,108.8,24
6,8,95.4,25.1
6,8,47.3,31.5
4,6,63.6,23.7
4,6,73.7,23.3
4,6,113.8,22
4,6,124,20.1
4,6,112.2,22.2
4,6,51.9,23.7
5,7,125,17.6
5,7,184.6,18.5
5,7,91.6,24.3
5,7,101.5,20.5
5,7,95.2,24.5
5,7,65.6,26.2
5,7,59,24.4
5,7,35.9,24.8
5,7,35.3,29.6
5,7,35.4,42.8
3,1,65.7,21.9
3,1,92.5,20.9
3,3,31.1,44
3,5,51.2,50
3,5,77.9,36
3,5,69,30.1
3,5,95.9,33.8
3,5,72.6,43.1
3,5,59.1,48.8
3,5,112.5,31
3,5,81,36.5
3,5,104.5,22.8
3,5,147.9,30.7
3,5,74.4,50
3,5,31.6,43.5
6,3,136.5,20.7
6,3,130,21.1
6,3,65.9,25.2
6,3,77.3,24.4
6,3,65.8,35.2
6,4,35.3,32.4
6,4,29.8,32
6,4,60.5,33.2
6,4,41.6,33.1
6,4,71.9,29.1
3,5,48.5,35.1
3,5,37.6,45.4
3,5,45.9,35.4
3,5,30.1,46
1,1,31.6,50
2,1,78.5,32.2
2,1,82.3,22
1,1,129.3,20.1
5,6,71.4,23.2
5,6,76,22.3
5,6,95.1,24.8
4,4,33.3,28.5
4,4,35.6,37.3
4,4,47,27.9
13,4,85.8,23.9
13,4,104,21.7
13,4,62.7,28.6
13,4,73.9,27.1
13,4,158.4,20.3
2,5,49.7,22.5
2,5,47.4,29
2,5,60.7,24.8
6,7,95,22
6,7,86.7,26.4
6,7,48.6,33.1
2,7,69.3,36.1
2,7,89.3,28.4
2,7,64.7,33.4
2,7,75.3,28.2
9,4,45.4,22.8
9,4,99.7,20.3
9,4,126.4,16.1
9,4,59.8,22.1
9,4,117.2,19.4
9,4,79,21.6
9,4,92.8,23.8
9,4,115,16.2
9,4,183.3,17.8
9,4,159.4,19.8
9,4,103.6,23.1
9,4,127.3,21
7,5,72,23.8
7,5,68.7,23.1
7,5,77,20.4
7,5,117.4,18.5
7,5,61.2,25
7,5,50.8,24.6
7,5,61.5,23
7,5,127.9,22.2
3,4,99.7,19.3
3,4,73.4,22.6
3,4,90.9,19.8
6,1,124.3,17.1
6,1,78.3,19.4
5,5,56.8,22.2
5,5,67.5,20.7
5,5,80.1,21.1
5,5,98,19.5
5,5,105.6,18.5
5,5,85.1,20.6
5,5,97.4,19
5,5,92.9,18.7
1,1,54.9,32.7
1,1,86.5,16.5
3,5,71.8,23.9
3,5,46.1,31.2
4,3,105.3,17.5
4,3,126.7,17.2
4,4,63.6,23.1
2,4,59.9,24.5
1,1,58.9,26.6
1,1,59.8,22.9
1,4,54.9,24.1
1,4,77.9,18.6
2,5,45,30.1
1,4,80.5,18.2
1,4,55.7,20.6
18,24,176,17.8
18,24,132.7,21.7
18,24,114.8,22.7
18,24,126.7,22.6
18,24,77.9,25
18,24,141.9,19.9
18,24,101.9,20.8
18,24,146.4,16.8
18,24,52.9,21.9
18,24,71.2,27.5
18,24,140,21.9
18,24,133.3,23.1
18,24,32.6,50
18,24,37.3,50
18,24,29.6,50
18,24,95.3,50
18,24,88.8,50
18,24,347.7,13.8
18,24,379.7,13.8
18,24,134.4,15
18,24,232.4,13.9
18,24,212.4,13.3
18,24,236.9,13.1
18,24,217.8,10.2
18,24,172.1,10.4
18,24,210.8,10.9
18,24,236,11.3
18,24,245.6,12.3
18,24,306.3,8.8
18,24,308.1,7.2
18,24,282.8,10.5
18,24,319.9,7.4
18,24,306.2,10.2
18,24,208.5,11.5
18,24,171.1,15.1
18,24,187.6,23.2
18,24,256.8,9.7
18,24,151.7,13.8
18,24,163.5,12.7
18,24,171.2,13.1
18,24,193.7,12.5
18,24,199.2,8.5
18,24,305.9,5
18,24,299.7,6.3
18,24,267.7,5.6
18,24,203.2,7.2
18,24,203.1,12.1
18,24,197.7,8.3
18,24,273.8,8.5
18,24,229.8,5
18,24,233.4,11.9
18,24,121.3,27.9
18,24,264,17.2
18,24,197.8,27.5
18,24,101.1,15
18,24,212.2,17.2
18,24,343.7,17.9
18,24,200.8,16.3
18,24,369.8,7
18,24,290.5,7.2
18,24,257.9,7.5
18,24,266.4,10.4
18,24,206.2,8.8
18,24,227.4,8.4
18,24,150.2,16.7
18,24,157,14.2
18,24,141,20.8
18,24,232.9,13.4
18,24,171.6,11.7
18,24,243.9,8.3
18,24,156.9,10.2
18,24,145.2,10.9
18,24,215.2,11
18,24,240.8,9.5
18,24,176.4,14.5
18,24,196.9,14.1
18,24,120.3,16.1
18,24,162.2,14.3
18,24,151.7,11.7
18,24,232.7,13.4
18,24,180.5,9.6
18,24,264.5,8.7
18,24,340.2,8.4
18,24,228.8,12.8
18,24,221.1,10.5
18,24,195.2,17.1
18,24,165.9,18.4
18,24,188.5,15.4
18,24,237.9,10.8
18,24,239.8,11.8
18,24,177.9,14.9
18,24,164.4,12.6
18,24,181.3,14.1
18,24,193.1,13
18,24,174.4,13.4
18,24,177.3,15.2
18,24,172.7,16.1
18,24,167.4,17.8
18,24,187.1,14.9
18,24,181.3,14.1
18,24,190.1,12.7
18,24,169.4,13.5
18,24,162.3,14.9
18,24,147,20
18,24,164.2,16.4
18,24,146.5,17.7
18,24,139.9,19.5
18,24,102.9,20.2
18,24,132.2,21.4
18,24,141.3,19.9
18,24,171.5,19
18,24,213.2,19.1
18,24,181.3,19.1
18,24,147.6,20.1
18,24,162.9,19.9
18,24,128.7,19.6
18,24,143.6,23.2
18,24,116.6,29.8
18,24,181.4,13.8
18,24,241,13.3
18,24,186.8,16.7
18,24,249.1,12
18,24,180.3,14.6
18,24,131.1,21.4
18,24,107.4,23
18,24,77.4,23.7
18,24,70.1,25
18,24,104.2,21.8
18,24,133.4,20.6
18,24,105.8,21.2
18,24,149.8,19.1
18,24,114.5,20.6
27,4,180.6,15.2
27,4,239.7,7
27,4,296.8,8.1
27,4,180.7,13.6
27,4,133.5,20.1
9,6,120.1,21.8
9,6,135.9,24.5
9,6,176,23.1
9,6,211.4,19.7
9,6,141,18.3
9,6,129.2,21.2
9,6,151,17.5
9,6,143.3,16.8
11,1,96.7,22.4
11,1,90.8,20.6
11,1,56.4,23.9
11,1,64.8,22
11,1,78.8,11.9
